angle,compactness,compression_ratio,curvature,distance,layout,planarity,torsion,word
24.300129062672006,0.39477088616041855,2.252769298735725,0.05730035182042943,1.691828039537365,qwerty,0.5628376545699681,0.027508896643339404,the
22.73335478537974,0.35390788264355677,2.1970102454720775,0.040061303055821076,1.1250600387132834,qwerty,0.5389913108207292,0.018193466610588398,be
16.603079106994315,0.3627386080919734,2.1707432891514693,0.04246417795785362,1.174897190814116,qwerty,0.5367832698256128,0.022135801354810237,to
16.85628782167534,0.36391701936849835,2.238684045830647,0.04042578912707853,1.0230857340838204,qwerty,0.5408386386162418,0.0186340892738889,of
31.15885505985294,0.40307436793154794,2.286737217520033,0.058148245340157605,1.5114771592059788,qwerty,0.5592367266064473,0.03257785360383314,and
11.784248134360402,0.3297928175930162,2.0832762493104657,0.01807812782695091,0.5769795772314663,qwerty,0.5203027613872403,0.01114197001827347,a
20.31535238338027,0.3650621948929961,2.2176059731283355,0.04399926262807368,1.0038766574100022,qwerty,0.541201152745999,0.019099762062321106,in
44.130634455719466,0.4305455832527634,2.399275043354294,0.08304974943114438,2.195431138739515,qwerty,0.5798531413612574,0.04175083479689143,that
38.4072360770185,0.41108635863391946,2.4115076307761183,0.08416799635292252,2.2650334147965716,qwerty,0.5734089566844126,0.0344403655637645,have
11.97076817450759,0.32797032342160404,2.1121835057608225,0.019180923015533077,0.5574811930178645,qwerty,0.5206329192637147,0.011433833453730587,I
22.3254557487115,0.36311091087372754,2.2231987731387806,0.036111349240807215,1.0731550098811133,qwerty,0.539638288221871,0.020219433849614356,it
27.88525754354427,0.39070430921814236,2.245971499091955,0.05609095441687413,1.571379481827139,qwerty,0.5629006166834498,0.02597159116075059,for
29.317355691963915,0.3823203620641191,2.3373160173587144,0.05908817727735594,1.524474458259574,qwerty,0.5589702048545927,0.030963684066969137,not
23.859084648747178,0.363737190677819,2.1934928661383797,0.03667463305619651,1.167475435649511,qwerty,0.5363131370096054,0.020876762546862312,on
35.19516370311489,0.4193012635966257,2.476804364671085,0.08167461516122801,2.0648232692983486,qwerty,0.572834876852176,0.04447602304071216,with
16.600329319905278,0.3632293909406644,2.19599795965304,0.04110010030306639,1.1895808757206172,qwerty,0.5424087678044973,0.019179866783905895,he
18.756118245621597,0.35427533645793846,2.21769027430577,0.043023681213203296,1.136021798129916,qwerty,0.5411183514349333,0.02168157757302985,as
25.912108942711253,0.3899289973722827,2.281856380904157,0.065951632933145,1.5569502303670077,qwerty,0.564548907963205,0.029701336059636155,you
22.363242848018672,0.3578344953367389,2.228491720341877,0.038187660294043385,1.1867400749541601,qwerty,0.5414129779662604,0.01773124463439629,do
22.615918602210478,0.3543260616188521,2.165521531692825,0.040122245271678375,1.179408552356795,qwerty,0.5413540468272796,0.017520426619090135,at
32.507757936369266,0.43721999825726765,2.3981793760854107,0.07854187097310797,2.3735102250339724,qwerty,0.5842532429267794,0.043227664751001794,this
32.8751290879186,0.38027888027167667,2.2855999991700147,0.059529947981378464,1.7170673839189734,qwerty,0.5582261140199839,0.032094950133225164,but
25.851322687237438,0.4019599261382462,2.2518327870298074,0.058675463704765875,1.735167084561067,qwerty,0.5550982451443549,0.028746302053026543,his
21.97482422106253,0.35773415222049065,2.185054859589256,0.04046394733074417,1.0444002159098926,qwerty,0.5377682538894283,0.021125986452783737,by
33.87118246353203,0.42347132942798155,2.332470195451617,0.07797289713542897,2.095429090575516,qwerty,0.5782154123089599,0.03569630251921638,from
40.31110807418617,0.40634137630144934,2.3866010557602104,0.07912107002845847,2.2374717987364257,qwerty,0.5774971864005457,0.03409675082823012,they
18.170063664078533,0.36723493816664887,2.1851226630249694,0.0366230965597353,1.1440575842856395,qwerty,0.5400163275404767,0.01923684900042717,we
28.29944935124827,0.39951701901285097,2.2822018578179706,0.06324404098459806,1.5362210211215719,qwerty,0.5595601591406769,0.029567253692260154,say
25.70522748498102,0.4027004681251207,2.2646660572061528,0.06538042207255068,1.6702954096278695,qwerty,0.5637248139573597,0.03303027156660002,her
32.36636044568829,0.3841011229830221,2.2970261829383687,0.0626644572549081,1.5569952772765157,qwerty,0.5571831772321997,0.03206976605103261,she
18.97952556730705,0.3661712382350053,2.196719841511249,0.03870292865141547,1.0537168709889522,qwerty,0.5384875943827836,0.02176191235943384,or
18.417160730194816,0.35113225630825196,2.1744285415285476,0.04016510318662589,1.0436418108145862,qwerty,0.540675897246737,0.02074163657712128,an
37.32207115066443,0.4182739162284657,2.4362257779343683,0.08778624596319488,2.0323245867716695,qwerty,0.5729282174116032,0.03776096886108806,will
22.754798779451573,0.3612409817592135,2.2127128203044815,0.03682970484590696,1.1963138341046378,qwerty,0.5398613988043228,0.02246736056763307,my
28.26166774301683,0.3865950397324308,2.30679183447144,0.061603934165635726,1.5006590843380028,qwerty,0.5605722869803296,0.03269921444079169,one
31.007832692207174,0.38067975384055375,2.3536375267074647,0.057060193777589065,1.5390199590346119,qwerty,0.5625162715557958,0.02847506509868042,all
54.96593173465587,0.45656691766020396,2.5211022035722412,0.10807092751949093,2.6523455761747545,qwerty,0.598253089920525,0.047657774747729705,would
58.03216436725083,0.4613572417966145,2.5968789365355107,0.10199627593741366,2.5887110921586647,qwerty,0.6006285990034534,0.05566628956614453,there
45.60533246366374,0.4634671463000991,2.432653899066058,0.09444185566159627,2.958003414836279,qwerty,0.5910829634257757,0.051149977795211146,their
38.23557231765114,0.4106242253377882,2.3996078655311277,0.0780537289643994,2.294847141641351,qwerty,0.5787558301240591,0.03715576330535499,what
